Agency or Publisher,Person(s),Phone,Email,Website,Address,SlowFoodLink
storyKitchen agentur für Kulinarik & Lebensstil,Frau Katja Rusch,(01 70) 4 78 75 16,kueche@agentur-storykitchen.de,http://www.agentur-storykitchen.de,"Bergstraße 41,  63785 Obernburg am Main, Hessen",https://www.slowfood.de/unterstuetzer/agenturen_verlage/storykitchen_agentur_fuer_kulinarik_lebensstil
Stiftung Alice-Hospital,Herr Marcus Fleischhauer,06151 / 4 02 10 00,marcus.fleischhauer@alice-hospital.de,http://www.alice-hospital.de,"Dieburger Str. 31,  64287 Darmstadt, Hessen",https://www.slowfood.de/unterstuetzer/agenturen_verlage/stiftung_alice_hospital
CPA Communikations- und Projektagentur GmbH,Hr. Ralf Frenzel,0611 / 5 79 90,r.frenzel@cpagmbh.de,http://www.cpagmbh.de/,"Sonnenberger Str. 43,  65191 Wiesbaden, Hessen",https://www.slowfood.de/unterstuetzer/agenturen_verlage/cpa
die medienagenten,Herr Dirk Paulus,06322 94194-0,info@medienagenten.de,http://www.medienagenten.de,"Kurgartenstrasse 8 ,  67098 Bad Dürkheim, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/agenturen_verlage/die_medienagenten
DEM WEIN AUF DER SPUR ,Herr Thomas Köster ,06241 92 54 56 ,info@weinspuren.de,http://www.weinspuren.de,"Mörikestr. 15,  67549 Worms, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/agenturen_verlage/dem_wein_auf_der_spur
Hädecke Verlag,Inh. Joachim Graff und Simone Graff,07033 - 138080,info@haedecke-verlag.de,http://www.haedecke-verlag.de,"Lukas-Moser-Weg 2,  71263 Weil der Stadt, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/agenturen_verlage/haedecke_verlag
solutioncube GmbH AGENTUR FÜR WERTVOLLES WERBEN ,"Herr Stephan Allgöwer, Frau Andrea Burk ",07121 / 36 40 70 ,welcome@solutioncube.com,http://www.solutioncube.com,"Emil-Adolff-Str. 1,  72760  Reutlingen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/agenturen_verlage/solutioncube_gmbh_agentur_fuer_wertvolles_werben
Agentur Blumberg GmbH,Herr Manuel Uez,0711 40053280,info@blumberg-agentur.de,http://www.blumberg-agentur.de,"Hölderlinstraße 12,  73666 Baltmannsweiler, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/agenturen_verlage/blumberg_agentur_fuer_oekologische_veranstaltungen
Christian Verlag / Verlagshaus GeraNova Bruckmann,Frau Silke Kirsch,089 -130699 - 0 ,info@christian-verlag.de,http://www.christian-verlag.de,"Infanteriestraße 11a,  80797 München, Bayern",https://www.slowfood.de/unterstuetzer/agenturen_verlage/christian_verlag_verlagshaus_geranova_bruckmann
Mission-Control GmbH ,Herr Günter Brunnhuber ,089 - 4576990 ,guenter.brunnhuber@mission-control.net,http://www.mission-control.net,"Tassiloplatz 7/Rgb,  81541 München, Bayern",https://www.slowfood.de/unterstuetzer/agenturen_verlage/mission_control_gmbh
GHM Gesellschaft für Handwerksmessen mbH,Hr. Klaus Plaschka,089 / 94 95 50,info@ghm.de,http://www.ghm.de,"Willy-Brandt-Allee 1,  81829 München, Bayern",https://www.slowfood.de/unterstuetzer/agenturen_verlage/ghm
buch7.de GmbH - Der Buchhandel mit der sozialen Seite,Herr Benedikt Gleich,(0 82 30) 2 73 97 77,kontakt@buch7.de,https://www.buch7.de,"Bahnhofstraße 23,  86462 Langenweid, Bayern",https://www.slowfood.de/unterstuetzer/agenturen_verlage/buch7de_gmbh_der_buchhandel_mit_der_sozialen_seite
Soda Catering Concepts GmbH,Oliver Fiß,08252 / 90 55 50,schrobenhausen@soda-group.com,https://soda-group.com,"Nagelschmiedgasse 1,  86529 Schrobenhausen, Bayern",https://www.slowfood.de/unterstuetzer/agenturen_verlage/soda_catering_concepts_gmbh
KGM Markenkommunikation GmbH,Herr Martin Gianmoena,0751-35 24 90 1,info@k-g-m.com,http://www.k-g-m.com,"Parkstraße 38,  88212 Ravensburg, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/agenturen_verlage/kgm_markenkommun_ikation_gmbh
Siglinde Fischer - Charming Places ,Herr Jörg Fischer ,07355 - 93360 ,info@siglinde-fischer.de,http://www.siglinde-fischer.de,"Ahornweg 10,  88454  Hochdorf, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/agenturen_verlage/siglinde_fischer_charming_places
"reisekunst® Angela Lodes, Kunsthistorikerin M.A.",Frau Angela Lodes,09279 971212 ,info@reisekunst.net,http://www.reisekunst.net,"Veilchenweg 1b,  95496 Glashütten, Bayern",https://www.slowfood.de/unterstuetzer/agenturen_verlage/reisekunst_angela_lodes_kunsthistorikerin_ma
