Winemaker,Person(s),Phone,Email,Website,Address,SlowFoodLink
Öko-Weingut  Beck-Winter,Hans Walter Beck und Daniel Beck,06584 - 7302,beck-winter@t-online.de,http://www.beck-winter.de,"Im Stolzenwingert 27 a,  54453 Nittel / Mosel, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/oeko_weingut_beck_winter
Weingut Van Volxem,Hr. Roman Niewodniczanski,06501 / 1 65 10,vanvolxem@t-online.de,http://www.vanvolxem.de,"Dehenstr. 2,  54459 Wiltingen, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/van_volxem
Familienweingut Franzen,Herr Michael Franzen,(0 65 07) 26 53,michael-franzen@t-online.de,http://www.vinothek-franzen.de,"Römerstraße 2,  54498 Piesport, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/familienweingut_franzen
Weingut Bernhard Reef,Herr Bernhard Reef,06535-445,info@reefweine.de,www.reefweine.de,"Bernkasteler Str. 18,  54518 Osann-Monzel, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_bernhard_reef
Weingut Ernst Hoffmann,Herr Paul Hoffmann,0 65 07 - 99 20 90,contact@weinguthoffmann.de,http://www.weinguthoffmann.de,"Moselweinstraße 14,  54518  Minheim/Mosel, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_ernst_hoffmann
Weingut Pauser,Familie Pauser,06734 / 8764,Info@Weingut-Pauser.de,http://www.weingut-pauser.de,"Im Baumfeld 40,  55237 Flonheim, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_pauser
Weingut und Gutsausschank Buhl,Frau Petra Buhl und Herr Wilfried Buhl jr.,06133  5 95 77,info@weingut-buhl.de,http://www.weingut-buhl.de,"Tempelhof 7,  55283  Nierstein, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_und_gutsausschank_buhl
Weingut Richard Richter,Herr Thomas Richter,02606 - 311,info@weingut-richter.net,https://www.weingut-richter.net,"Marktstr. 19,  56333 Winningen, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut-richard-richter
"Weingut Markus Görgen - Weine, Sekt und Destillate",Herr Markus Görgen,02673  - 42 51,info@mg-weine.de,http://www.mg-weine.de,"Zeller Straße 29,  56820 Senheim, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_markus_goergen_weine_sekt_und_destillate
Weingut Stefanie Vornhecke,Frau Stefanie Vornhecke,02673 - 4412,Stefanie.Vornhecke@t-online.de,http://www.weingut-vornhecke.de,"Zeller Straße 74,  56820 Senheim, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_stefanie_vornhecke
Schneiders Die Weinmanufaktur OHG,Frau Nicole Schneiders,02672 - 93670,info@die-weinmanufaktur.de,http://www.die-weinmanufaktur.de,"Hauptstraße 24,  56829  Pommern an der Mosel, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/schneiders_die_weinmanufaktur_ohg
Weingut Louis Klein GbR,Ulrike und Markus Boor,(0 65 41) 62 46,weingut@klein-wein.de,http://www.klein-wein.de,"Enkircher Straße 20,  56841 Traben - Trarbach / Mosel, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_louis_klein_gbr
Weingut Martin Müllen,Hr. Martin Müllen,06541 / 94 70,info@muellen.de,http://www.muellen.de,"Alte Weinstraße 2,  56841 Traben Trarbach, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_martin_muellen
Weingut Richard Böcking KG,Herr Denman Zirkle,06541-9385,riesling@weingut-boecking.de,http://www.weingut-boecking.de,"Schottstr. 12-14,  56841 Traben-Trarbach, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_richard_boecking_kg
Weingut Albert Kallfelz,Inhaberin: Andrea Kallfelz,06542 / 9 38 80,info@kallfelz.de,http://www.kallfelz.de,"Hauptstraße 60-62,  56856 Zell Merl, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_kallfelz
Bömers Mosellandhotel ,Frau Sonja Gleißner ,(0)6542/2310 ,info@boemershotel.de,http://www.boemershotel.de,"Ferdinand Remy Str. 27 ,  56859  Alf  / Mosel, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/boemers_mosellandhotel
Weingut Melsheimer,Hr. Thorsten Melsheimer,06542 / 24 22,mail@melsheimer-riesling.de,http://www.melsheimer-riesling.de,"Dorfstr. 21,  56861 Reil / Mosel, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/melsheimer
Weingut Zum Eulenturm,Herr Otto Stölben,06542 - 47 02,info@zum-eulenturm.de,http://www.zum-eulenturm.de,"Hauptstraße 218,  56867 Briedel/Mosel, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_zum_eulenturm
BERGSTRÄSSER WINZER eG,Dr. Patrick Staub / Reinhard Antes,06252 / 7994-0,info@BWeG.de,www.bergstraesserwinzer.de,"Darmstädter Strasse 56,  64646 Heppenheim, Hessen",https://www.slowfood.de/unterstuetzer/winzer/bergstraesser-winzer-eg
Weingut Kaufmann - Urban Kaufmann GmbH,Herr Urban Kaufmann, 06723 - 2475,e.raps@kaufmann-weingut.de,http://weingut-hans-lang.eu,"Rheinallee 6,  65347 Hattenheim, Hessen",https://www.slowfood.de/unterstuetzer/winzer/weingut_kaufmann_urban_kaufmann_gmbh
Weingut BIBO RUNGE,Markus Bonsels & Monika Eichner,06723 - 9986900,info@bibo-runge-wein.de,http://bibo-runge-wein.de,"Eberbacherstr. 5,  65375 Oestrich-Winkel, Hallgarten, Hessen",https://www.slowfood.de/unterstuetzer/winzer/bonsels_bibo_kg
Weingut Jakob Christ,Hr. Rainer Haas,06722 / 25 72,weingut-jakob-christ@gmx.de,"Grabenstraße 17,  65385 Rüdesheim, Hessen",https://www.slowfood.de/unterstuetzer/winzer/weingut_jakob_christ
Weingut Reichsrat von Buhl GmbH,Herr Richard Grosche,06326 - 965019,info@von-buhl.de ,http://www.von-buhl.de,"Weinstraße 18-24,  67146 Deidesheim, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_reichsrat_von_buhl_gmbh
Weingut von Winning Dr. Deinhard,Herr Stephan Attmann,06326 / 2 21,weingut@dr-deinhard.de,http://www.dr-deinhard.de,"Weinstraße 10,  67146 Deidesheim, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_von_winning_dr_deinhard
KORE- Wein & mehr,Laura & Fabian Kerbeck,06326-2185040,info@kore-wein.de,https://www.kore-wein.de/,"Untere Hofstückstr. 7,  67146 Deidesheim, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/kore-wein-mehr
Weingut Georg Siben Erben,Herr Andreas Siben,06326 - 989363,siben_weingut@t-online.de,http://www.siben-weingut.de,"Weinstraße 21,  67146  Deidesheim an der Weinstraße, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_georg_siben_erben
Weingut Eymann,Ingeborg und Rainer Eymann,06322 / 28 08,info@weinguteymann.de,http://www.weinguteymann.de,"Ludwigstr. 35,  67161 Gönnheim, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_eymann
Weingut Reibold,"Hans Dieter, Philipp & Johannes Reibold",(0 63 53) 18 21,post@weingut-reibold.de,http://www.weingut-reibold.de,"Wallstraße 19,  67251 Freinsheim, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_reibold
Weingut Petri GbR,Herr Maximilian Petri,(0 63 53) 23 45,info@weingut-petri.de,http://www.weingut-petri.de,"Weinstrasse 43,  67273 Herxheim am Berg, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_petri_gbr
Weingut Galler,Herr Ansgar Galler,(0 63 59) 91 93 91,mail@weingut-galler.de,http://www.weingut-galler.de,"Bissersheimer Str. 13,  67281 Kirchheim, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_galler
Martina & Jochen - Das Weingut Wick,Martina und Jochen Wick,06355 / 22 01,info@weingut-wick.de,http://www.weingut-wick.com,"Zeller Hauptstr. 2,  67308 Zellertal - Zell, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_wick
Weingut Schäffer,Herr Andreas Schäffer,06321 - 28 59,info@geispitz.de,http://www.geispitz.de,"Schloßstraße 100,  67434 Neustadt-Hambach, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_schaeffer
Das Hirschhorner Weinkontor,Herr Frank John,06321 - 670537,g.john@johnwein.de,http://www.johnwein.de,"Hirschhornring 34,  67435 Neustadt-Königsbach / Weinstraße, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/hirschhorner_hof
Weingut Johann F. Ohler,Frau Sabine Ohler - Jost,(0 63 21) 61 16,info@weingut-ohler.de,http://www.weingut-ohler.de,"Meerspinnstraße 33,  67435 Neustadt, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_johann_f_ohler
Wein- und Sektgut Destillerie Diehl,Andreas Diehl,06323 / 93 89 30,ad@diehl-wein.de,http://www.diehl-wein.de,"Eisenbahnstr. 3a,  67483 Edesheim, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/wein_und_sektgut_destillerie_diehl
Weingut Stephanshof,Hr. Stephan Kiefer,06323 / 98 09 91,weingut-stephanshof@t-online.de,http://www.weingut-stephanshof.de,"Jahnstr. 42,  67487 St. Martin, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_stephanshof
Weinbau Roß,Herr Alexander Roß,06243 7860,info@weinbau-ross.de,http://www.weinbau-ross.de,"Kalkofen 4,  67591 Mölsheim/Zellertal, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weinbau_ross
Weingut Jean Buscher GdbR,Jean Michael und Jean Raphael Buscher,(0 62 42) 87 2,weingut@jeanbuscher.wine,https://www.jeanbuscher.wine,"Wormser Str. 4 - 6,  67595 Bechtheim, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_jean_buscher
Weingut Clauer,Hr. Jörg Clauer,06221 / 38 24 39,service@weingutclauer.de,http://www.weingutclauer.de,"Dormenacker,  69126 Heidelberg, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_clauer
Weinfactum e.G.,Herr Marc Nagel,0711 - 54 22 66,info@weinfactum.de,https://www.weinfactum.de,"Rommelstraße 20,  70376 Stuttgart, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weinfactum_eg
Fendt Weinfamilie,Maren und Jürgen Fendt,(07 11) 74 57 50 88,info@fendtwein.de,http://www.fendtwein.de,"Häuserwiesenstraße 13,  70771 Leinfelden - Echterdingen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/fendt_weinfamilie
Ökologischer Weinbau Sabine Koch und Stefan Haderlein,Sabine Koch und Stefan Haderlein,07073 - 302999 ,wein@koch-unterjesingen.de ,http://www.koch-unterjesingen.de,"Jesinger Hauptstr. 108/2,  72070 Tübingen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/oekologischer_weinbau_sabine_koch_und_stefan_haderlein
Weingut Amalienhof,Hr. Gerhard Strecker,07131 / 25 17 35,info@weingut-amalienhof.de,http://www.weingut-amalienhof.de,"Lukas-Cranach-Weg 5,  74074 Heilbronn, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_amalienhof
Weingut Kistenmacher & Hengerer,Sabine und Hans Hengerer,07131 - 17 23 54,kistenmacher-hengerer-wein@t-online.de,http://www.kistenmacher-hengerer.de,"Eugen-Nägele-Straße 23-25,  74074  Heilbronn, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_kistenmacher_hengerer
Genossenschaftskellerei Heilbronn eG,Herr Karl Seiter und Frau Sylvia Leisterer,(071 31) 15 79-14,info@wg-heilbronn.de,http://www.wg-heilbronn.de,"Binswanger Straße,  74076 Heilbronn, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/genossenschaftskellerei_heilbronn_eg
Weingut Helmuth Hirth,Hr. Helmuth Hirth,07134 / 9 82 78 50,info@helmuth-hirth.de,http://www.helmuth-hirth.de,"Rebhof,  74182 Obersulm-Willsbach, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_hirth
Weingut Ungerer,Herr Karlheinz Ungerer,(0 79 49) 94 06 90,info@weingut-ungerer.de,http://www.weingut-ungerer.de,"Harsberger Straße 15,  74629 Pfedelbach - Renzen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_ungerer
Obstweingut Knoerzer,Herr Dietrich Knoerzer,(0 72 22) 9 14 15 71,dietrich.knoerzer@web.de,http://www.obstweingut-knoerzer.de,"Ortsstraße 53,  76571 Gaggenau - Oberweier, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/obstweingut_knoerzer
Weingut Jürgen Leiner,Herr Sven Leiner,06341 / 3 06 21,info@weingut-leiner.de,"Arzheimer Str. 14,  76831 Ilbesheim, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_juergen_leiner
Weingut  Stefan Meyer ,Herr Stefan Meyer,06323-23 48,weingut@meyer-rhodt.de,http://www.meyer-rhodt.de,"Edesheimerstraße 17,  76835 Rhodt, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_meyer_sohn_1
Weingut Theo Minges,Herr Theo Minges,06323 - 933 50,info@weingut-minges.com,http://www.weingut-minges.com,"Bachstrasse 11,  76835 Flemlingen, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_theo_minges
Weingut Jean Rapp,Herr Frank Kayser,+49(0)6343 939777,frank@jean-rapp.de,https://www.jean-rapp.de/#!/,"Obere Hauptstr. 4,  76889 Kapellen-Drusweiler, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut-jean-rapp
Biolandweingut Martin Manderschied,Herr Martin Manderschied,06343 - 25 79,weingut-manderschied@gmx.de,http://www.weingut-manderschied.de,"Dorfstraße 4,  76889 Kapellen-Drusweiler, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_manderschied
Weingut Markgraf von Baden,Herr Bernhard Prinz von Baden,0781 - 4 27 78,info@schloss-staufenberg.de,http://www.markgraf-von-baden.de,"Schloss Staufenberg 1,  77770 Durbach / Baden, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_markgraf_von_baden
Weingut Heinrich Männle,Heinrich und Sylvia Männle,0781 - 4 11 01,info@weingutmaennle.de,http://www.weingutmaennle.de,"Sendelbach 16,  77770 Durbach, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_heinrich_maennle
Weingut Andreas Dilger,Hr. Andreas Dilger,0761 - 1 37 72 11,info@weingut-andreas-dilger.de,http://www.weingut-andreas-dilger.de/,"Urachstr. 3,  79102 Freiburg, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_andreas_dilger
Weingut Landmann ,Inh. Jürgen Landmann,07665/ 6756,info@weingut-landmann.de,http://www.weingut-landmann.de,"Umkircher Str. 29,  79112  Freiburg-Waltershofen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_landmann
Weingut Martin Waßmer,Herr Martin Waßmer,07633 / 1 52 92,wassmer-krozingen@t-online.de,http://www.weingut-wassmer.de,"Am Sportplatz 3,  79189 Bad Krozingen - Schlatt, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_wassmer
Weingut Fritz Waßmer,Herr Fritz Waßmer,07633 - 3965,wassmer@weingutfritzwassmer.de,http://www.weingutfritzwassmer.de,"Lazariterstraße 2,  79189 Bad Krozingen-Schlatt, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_fritz_wassmer
Weinhaus Peter und Judit Landmann,Peter und Judit Landmann,07633-5510,info@landmann-wein.de,http://www.landmann-wein.de,"Auf dem Rempart 2,  79219  Staufen im Breisgau, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weinhaus_peter_und_judit_landmann
Weingut Bercher,Herren Arne und Martin Becher,07662-212,info@weingutbercher.de,http://www.weingutbercher.de,"Mittelstadt 13,  79235 Burkheim, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_bercher
Ökologisches Weingut Hubert Lay ,Herr Hubert Lay, 07668 - 1870 ,info@weingut-hubert-lay.de ,http://www.weingut-hubert-lay.de,"Scherkhofenstraße 52 ,  79241 Ihringen , Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/oekologisches_weingut_hubert_lay
Weingut - Weinhof Dr. Schandelmeier GmbH ,Dr. Stephen Schandelmeier,07668-996390-32,info@weingut-drschandelmeier.de,http://www.weingut-drschandelmeier.de,"Bürchleweg 2,  79241  Ihringen , Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_weinhof_dr_schandelmeier_gmbh
Weingut Johannes Kiefer,Johannes Kiefer,+49 (0) 76 63 56 34,info@weingut-johannes-kiefer.de,https://weingut-johannes-kiefer.de,"Altweg 97,  79356 Eichstetten, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut-johannes-kiefer
Friedrich Kiefer KG Privatkellerei - Weingut,Martin und Helen Schmidt,07663 - 1063,info@weingutkiefer.de,http://www.weingutkiefer.de,"Bötzinger Str. 13,  79356 Eichstetten, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/friedrich_kiefer_kg
Weingut Köbelin,Herr Arndt Köbelin,07663 - 14 14,arndt.koebelin@t-online.de,http://www.weingut-koebelin.de,"Altweg 131,  79356 Eichstetten, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_koebelin
Ökologisches Wein- & Sektgut Helde,Herr Norbert Helde,0 76 62 / 6116,info@wein-helde.de,http://www.wein-helde.de,"Emil-Gött-Straße 1,  79361  Sasbach-Jechtingen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/oekologisches_wein_sektgut
Weingut Dr. Schneider,Herr Dr. Gustav Schneider,07631 / 29 15,info@weingut-dr-schneider.de,http://www.weingut-dr-schneider.de,"Rosenbergstr. 10,  79379  Müllheim-ZunZingen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_dr_schneider
Weingut Lämmlin-Schindler,Heidi Schwarz-Schindler,07635 - 440,weingut@laemmlin-schindler.de,http://www.laemmlin-schindler.de,"Müllheimer Str. 4,  79418 Schliengen , Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_laemmlin_schindler
Weingut Fritz Blankenhorn KG,Herr Martin Männer,07635 - 8200-0,info@gutedel.de,http://www.weingut-blankenhorn.de,"Basler Straße 2,  79418 Schliengen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_fritz_blankenhorn_kg
Weingut Thomas Harteneck,Herr Thomas Harteneck,(0 76 35) 88 37,info@weingut-harteneck.de,http://weingut-harteneck.de,"Brezelstraße 15,  79418 Schliengen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/wein_und_sektgut_harteneck
Weingut Wilhelm Zähringer GmbH,Herr Fabian Zähringer,07634 - 50 48 90,info@weingut-zaehringer.de,http://www.weingut-zaehringer.de,"Johanniterstraße 61,  79423 Heitersheim, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_zaehringer
Weingut Brenneisen,Herr Dirk Brenneisen,07628 – 80 09 87,info@weingut-brenneisen.de,http://www.weingut-brenneisen.de,"Am Weiler Weg 2,  79588 Egringen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/weingut_brenneisen
Hendriks Weine,Herr Clemens Hendriks,(08382) 84 83,info@hendriks-weine.de,http://www.hendriks-weine.de,"Uferstraße 14,  88149 Nonnenhorn, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/hendriks_weine
Weingut Hofmann GbR,Bernd & Helmut Hofmann,09846 / 7 27,weingut@wein-hofmann.de,http://www.wein-hofmann.de,"Oberndorfer Str. 20,  91472 Ipsheim, Bayern",https://www.slowfood.de/unterstuetzer/winzer/weingut_hofmann
Weingut Markus Meier,Herr Markus Meier ,09842 / 24 79,post@weingutmeier.de,http://www.weingutmeier.de,"Ulsenheim 114,  91478 Markt Nordheim, Bayern",https://www.slowfood.de/unterstuetzer/winzer/weingut_markus_meier
Winzerhof Stahl,Hr. Christian Stahl,09848 / 9 68 96,mail@winzerhof-stahl.de,http://www.winzerhof-stahl.de,"Lange Dorfstraße 21,  97215 Auernhofen, Bayern",https://www.slowfood.de/unterstuetzer/winzer/winzerhof_stahl
Weingut Trockene Schmitts,Bruno und Lothar Schmitt,0931 / 70 04 90,info@durchgegorene-weine.de,http://www.durchgegorene-weine.de,"Maingasse 14a,  97236 Randersacker, Bayern",https://www.slowfood.de/unterstuetzer/winzer/weingut_trockene_schmitts
Weingut Martin Göbel,Hr. Martin Göbel,0931 / 70 93 80,mail@weingutgoebel.de,https://www.weingutgoebel.de,"Friedhofstr. 9,  97236 Randersacker, Bayern",https://www.slowfood.de/unterstuetzer/winzer/weingut_goebel
Weingut Bickel-Stumpf,Carmen und Reimund Stumpf,09331 / 28 47,info@bickel-stumpf.de,http://www.bickel-stumpf.de,"Kirchgasse 5,  97252 Frickenhausen, Bayern",https://www.slowfood.de/unterstuetzer/winzer/weingut_bickel_stumpf
Bioweingut Laudens Bach,Reiner Laudenbach,+49(0)9331/3286,wein@laudensbach.de,https://laudensbach.de/,"Segnitzerstrasse 35,  97252 Frickenhausen, Bayern",https://www.slowfood.de/unterstuetzer/winzer/bioweingut-laudens-bach
Weingut Rudolf May,Herrn Rudolf May,09364-57 60,info@weingut-may.de,http://www.weingut-may.de,"Im Eberstal,  97282 Retzstadt, Bayern",https://www.slowfood.de/unterstuetzer/winzer/weingut_rudolf_may
Weingut Hofmann,Alois und Jürgen Hofmann,09338 / 15 77,weingut.a.hofmann@t-online.de,"Strüther Str. 7,  97285 Röttingen, Bayern",https://www.slowfood.de/unterstuetzer/winzer/weingut_a_hofmann
Ökologisches Weingut und Brennerei Rothe,Hr. Manfred Rothe,09381 / 45 79,info@wein-rothe.de,http://www.wein-rothe.de,"Hauptstr. 14,  97334 Nordheim, Bayern",https://www.slowfood.de/unterstuetzer/winzer/wein_rothe
Weingut Brügel GbR,Harald und Heinrich Brügel,09383 / 76 19,info@weingut-bruegel.de,http://www.weingut-bruegel.de,"Hauptstraße 49,  97355 Castell-Greuth, Bayern",https://www.slowfood.de/unterstuetzer/winzer/weingut_bruegel
Weingut Peter Götz ,Herr Peter Götz,09529 - 617,info@goetz-wein.de,http://www.goetz-wein.de,"Höhstraße 10,  97478 Zell am Ebersberg, Bayern",https://www.slowfood.de/unterstuetzer/winzer/weingut_peter_goetz
Weingut Scholtens,Herr Nico Scholtens,09529 / 3 26,info@weingut-scholtens.com,http://www.weingut-scholtens.com,"Rieneckstraße 6,  97514 Fatschenbrunn, Bayern",https://www.slowfood.de/unterstuetzer/winzer/weingut_scholtens
Weinbau A. Keller GbR,Adolf und Agnes Keller,09704 / 18 51,info@weinbau-keller.de,http://www.weinbau-keller.de,"Hauptstraße 6,  97729 Ramsthal, Bayern",https://www.slowfood.de/unterstuetzer/winzer/weinbau_a_keller
"Bioweingut Baumann - Weingut, Imkerei, Brennerei",Herr Baumann,09343 - 8179,info@bioweingut-baumann.de,http://www.bioweingut-baumann.de,"Herrenbergstr. 7,  97922 Gerlachsheim, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/winzer/oekoweingut_baumann
